location,age_group,year,week,date,value_0w,value_1w,value_2w,value_3w,value_4w,value_5w,value_6w,value_7w,value_8w,value_9w,value_10w,value_>10w
DE,00+,2025,9,2025-03-02,332,166.0,0.0,0.0,83.0,-83.0,0.0,83.0,0.0,0.0,0.0,-83.0
DE,00+,2025,10,2025-03-09,166,83.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,11,2025-03-16,83,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,12,2025-03-23,83,166.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,13,2025-03-30,83,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,14,2025-04-06,83,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,15,2025-04-13,83,0.0,0.0,0.0,83.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0
DE,00+,2025,16,2025-04-20,83,83.0,0.0,83.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,17,2025-04-27,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,18,2025-05-04,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,19,2025-05-11,0,83.0,0.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,20,2025-05-18,83,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,21,2025-05-25,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0
DE,00+,2025,22,2025-06-01,0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,23,2025-06-08,83,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,24,2025-06-15,0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,25,2025-06-22,0,83.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,26,2025-06-29,0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,27,2025-07-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,28,2025-07-13,0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,29,2025-07-20,83,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,30,2025-07-27,83,83.0,0.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,31,2025-08-03,83,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,32,2025-08-10,83,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,33,2025-08-17,83,83.0,-83.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,34,2025-08-24,249,166.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,35,2025-08-31,166,83.0,83.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,36,2025-09-07,332,83.0,83.0,83.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,37,2025-09-14,249,83.0,166.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,38,2025-09-21,498,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,39,2025-09-28,415,166.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,40,2025-10-05,415,250.0,83.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,41,2025-10-12,914,333.0,249.0,83.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,42,2025-10-19,997,83.0,83.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,43,2025-10-26,997,333.0,83.0,83.0,83.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,44,2025-11-02,831,332.0,84.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,00+,2025,45,2025-11-09,498,416.0,166.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0
DE,00+,2025,46,2025-11-16,415,416.0,166.0,83.0,0.0,0.0,0.0,83.0,0.0,0.0,,
DE,00+,2025,47,2025-11-23,665,415.0,83.0,84.0,0.0,0.0,0.0,0.0,0.0,,,
DE,00+,2025,48,2025-11-30,748,332.0,0.0,0.0,0.0,83.0,0.0,0.0,,,,
DE,00+,2025,49,2025-12-07,748,332.0,0.0,0.0,250.0,0.0,0.0,,,,,
DE,00+,2025,50,2025-12-14,831,0.0,0.0,914.0,0.0,0.0,,,,,,
DE,00+,2025,51,2025-12-21,0,0.0,1413.0,0.0,-83.0,,,,,,,
DE,00+,2025,52,2025-12-28,0,1330.0,83.0,0.0,,,,,,,,
DE,00+,2026,1,2026-01-04,665,332.0,166.0,,,,,,,,,
DE,00+,2026,2,2026-01-11,665,83.0,,,,,,,,,,
DE,00+,2026,3,2026-01-18,332,,,,,,,,,,,
DE,00-04,2024,40,2024-10-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2024,41,2024-10-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2024,42,2024-10-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2024,43,2024-10-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2024,44,2024-11-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2024,45,2024-11-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2024,46,2024-11-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2024,47,2024-11-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2024,48,2024-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2024,49,2024-12-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2024,50,2024-12-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2024,51,2024-12-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2024,52,2024-12-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,1,2025-01-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,2,2025-01-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,3,2025-01-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,4,2025-01-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,5,2025-02-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,6,2025-02-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,7,2025-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,8,2025-02-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,9,2025-03-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,10,2025-03-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,11,2025-03-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,12,2025-03-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,13,2025-03-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,14,2025-04-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,15,2025-04-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,16,2025-04-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,17,2025-04-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,18,2025-05-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,19,2025-05-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,20,2025-05-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,21,2025-05-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,22,2025-06-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,23,2025-06-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,24,2025-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,25,2025-06-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,26,2025-06-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,27,2025-07-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,28,2025-07-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,29,2025-07-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,30,2025-07-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,31,2025-08-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,32,2025-08-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,33,2025-08-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,34,2025-08-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,35,2025-08-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,36,2025-09-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,37,2025-09-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,38,2025-09-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,39,2025-09-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,40,2025-10-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,41,2025-10-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,42,2025-10-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,43,2025-10-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,44,2025-11-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,45,2025-11-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,00-04,2025,46,2025-11-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DE,00-04,2025,47,2025-11-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
DE,00-04,2025,48,2025-11-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
DE,00-04,2025,49,2025-12-07,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
DE,00-04,2025,50,2025-12-14,0,0.0,0.0,0.0,0.0,0.0,,,,,,
DE,00-04,2025,51,2025-12-21,0,0.0,0.0,0.0,0.0,,,,,,,
DE,00-04,2025,52,2025-12-28,0,0.0,0.0,0.0,,,,,,,,
DE,00-04,2026,1,2026-01-04,0,0.0,0.0,,,,,,,,,
DE,00-04,2026,2,2026-01-11,0,0.0,,,,,,,,,,
DE,00-04,2026,3,2026-01-18,0,,,,,,,,,,,
DE,05-14,2024,40,2024-10-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2024,41,2024-10-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2024,42,2024-10-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2024,43,2024-10-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2024,44,2024-11-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2024,45,2024-11-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2024,46,2024-11-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2024,47,2024-11-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2024,48,2024-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2024,49,2024-12-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2024,50,2024-12-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2024,51,2024-12-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2024,52,2024-12-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,1,2025-01-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,2,2025-01-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,3,2025-01-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,4,2025-01-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,5,2025-02-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,6,2025-02-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,7,2025-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,8,2025-02-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,9,2025-03-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,10,2025-03-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,11,2025-03-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,12,2025-03-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,13,2025-03-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,14,2025-04-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,15,2025-04-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,16,2025-04-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,17,2025-04-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,18,2025-05-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,19,2025-05-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,20,2025-05-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,21,2025-05-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,22,2025-06-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,23,2025-06-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,24,2025-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,25,2025-06-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,26,2025-06-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,27,2025-07-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,28,2025-07-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,29,2025-07-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,30,2025-07-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,31,2025-08-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,32,2025-08-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,33,2025-08-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,34,2025-08-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,35,2025-08-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,36,2025-09-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,37,2025-09-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,38,2025-09-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,39,2025-09-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,40,2025-10-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,41,2025-10-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,42,2025-10-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,43,2025-10-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,44,2025-11-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,45,2025-11-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,05-14,2025,46,2025-11-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DE,05-14,2025,47,2025-11-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
DE,05-14,2025,48,2025-11-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
DE,05-14,2025,49,2025-12-07,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
DE,05-14,2025,50,2025-12-14,0,0.0,0.0,0.0,0.0,0.0,,,,,,
DE,05-14,2025,51,2025-12-21,0,0.0,0.0,0.0,0.0,,,,,,,
DE,05-14,2025,52,2025-12-28,0,0.0,0.0,0.0,,,,,,,,
DE,05-14,2026,1,2026-01-04,0,0.0,0.0,,,,,,,,,
DE,05-14,2026,2,2026-01-11,0,0.0,,,,,,,,,,
DE,05-14,2026,3,2026-01-18,0,,,,,,,,,,,
DE,15-34,2024,40,2024-10-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2024,41,2024-10-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2024,42,2024-10-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2024,43,2024-10-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2024,44,2024-11-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2024,45,2024-11-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2024,46,2024-11-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2024,47,2024-11-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2024,48,2024-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2024,49,2024-12-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2024,50,2024-12-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2024,51,2024-12-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2024,52,2024-12-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2025,1,2025-01-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2025,2,2025-01-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2025,3,2025-01-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2025,4,2025-01-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2025,5,2025-02-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2025,6,2025-02-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2025,7,2025-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2025,8,2025-02-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2025,9,2025-03-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2025,10,2025-03-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2025,11,2025-03-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,15-34,2025,12,2025-03-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
